taxonRemarks,taxonID,scientificName,vernacularName,language
Flowering plants,floraislands.is/ranurept.html,Ranunculus reptans,Flagasóley,is
Flowering plants,floraislands.is/centatri.html,Centaurea triumfetti,Flauelskornblóm,is
Flowering plants,floraislands.is/persimac.html,Persicaria maculosa,Flóajurt,is
Flowering plants,floraislands.is/carlimos.html,Carex limosa,Flóastör,is
Flowering plants,floraislands.is/glyceflu.html,Glyceria fluitans,Flóðapuntur,is
Flowering plants,floraislands.is/hipputet.html,Hippuris tetraphylla,Flæðalófótur,is
Flowering plants,floraislands.is/spergsal.html,Spergularia salina,Flæðarbúi,is
Flowering plants,floraislands.is/carsubsp.html,Carex supspathacea,Flæðastör,is
Flowering plants,floraislands.is/leucavul.html,Leucanthemum vulgare,Freyjubrá,is
Flowering plants,floraislands.is/platahyp.html,Platanthera hyperborea,Friggjargras,is
Flowering plants,floraislands.is/lathypra.html,Lathyrus pratensis,Fuglaertur,is
Flowering plants,floraislands.is/carlivid.html,Carex livida,Fölvastör,is
Flowering plants,floraislands.is/barbavul.html,Barbarea vulgaris,Garðableikja,is
Flowering plants,floraislands.is/valeroff.html,Valeriana officinalis,Garðabrúða,is
Flowering plants,floraislands.is/galeotet.html,Galeopsis tetrahit,Garðahjálmgras,is
Flowering plants,floraislands.is/lupinper.html,Lupinus polyphyllus,Garðalúpína,is
Flowering plants,floraislands.is/alchemol.html,Alchemilla mollis,Garðamaríustakkur,is
Flowering plants,floraislands.is/papavnud.html,Papaver croceum,Garðasól,is
Flowering plants,floraislands.is/aegoppod.html,Aegopodium podagraria,Geitakál,is
Flowering plants,floraislands.is/angelsyl.html,Angelica sylvestris,Geithvönn,is
Flowering plants,floraislands.is/armermar.html,Armeria maritima,Geldingahnappur,is
Flowering plants,floraislands.is/viciasep.html,Vicia sepium,Giljaflækja,is
Flowering plants,floraislands.is/arrheela.html,Arrhenatherum elatius,Ginhafri,is
Flowering plants,floraislands.is/myosoarv.html,Myosotis arvensis,Gleym-mér-ei,is
Flowering plants,floraislands.is/rosaduma.html,Rosa dumalis,Glitrós,is
Flowering plants,floraislands.is/carpalle.html,Carex pallescens,Gljástör,is
Flowering plants,floraislands.is/hieraele.html,Hieracium elegantiforme,Glæsifífill,is
Flowering plants,floraislands.is/potamgra.html,Potamogeton gramineus,Grasnykra,is
Flowering plants,floraislands.is/omalosyl.html,Omalotheca sylvatica,Grájurt,is
Flowering plants,floraislands.is/omalosup.html,Omalotheca supina,Grámulla,is
Flowering plants,floraislands.is/filaguli.html,Gnaphalium uliginosum,Grámygla,is
Flowering plants,floraislands.is/carflacc.html,Carex flacca,Grástör,is
Flowering plants,floraislands.is/salixarc.html,Salix arctica,Grávíðir,is
Flowering plants,floraislands.is/drabainc.html,Draba incana,Grávorblóm,is
Flowering plants,floraislands.is/plantmaj.html,Plantago major,Græðisúra,is
Flowering plants,floraislands.is/orthisec.html,Orthilia secunda,Grænlilja,is
Flowering plants,floraislands.is/cardemis.html,Carex demissa,Grænstör,is
Flowering plants,floraislands.is/gentiama.html,Gentianella amarella,Grænvöndur,is
Flowering plants,floraislands.is/saxifhir.html,Saxifraga hirculus,Gullbrá,is
Flowering plants,floraislands.is/linarvul.html,Linaria vulgaris,Gullingin,is
Flowering plants,floraislands.is/anthyvul.html,Anthyllis vulneraria,Gullkollur,is
Flowering plants,floraislands.is/potencra.html,Potentilla crantzii,Gullmura,is
Flowering plants,floraislands.is/saxifaiz.html,Saxifraga aizoides,Gullsteinbrjótur,is
Flowering plants,floraislands.is/carserot.html,Carex serotina,Gullstör,is
Flowering plants,floraislands.is/gentiaur.html,Gentianella aurea,Gullvöndur,is
Flowering plants,floraislands.is/galiuver.html,Galium verum,Gulmaðra,is
Flowering plants,floraislands.is/carlyngb.html,Carex lyngbyei,Gulstör,is
Flowering plants,floraislands.is/salixphy.html,Salix phylicifolia,Gulvíðir,is
Flowering plants,floraislands.is/valersam.html,Valeriana sambucifolia,Hagabrúða,is
Flowering plants,floraislands.is/carpulic.html,Carex pulicaris,Hagastör,is
Flowering plants,floraislands.is/drabanor.html,Draba norvegica,Hagavorblóm,is
Flowering plants,floraislands.is/stellmed.html,Stellaria media,Haugarfi,is
